zip,f_ped_pop,m_ped_pop,m_blk_pct,f_blk_pct,m_hisp_pct,f_hisp_pct,m_heal_ins_pct,f_heal_ins_pct,sing_pent_pct,ssi_snap_pct,vehicle_pct,poverty_pct,lang_pct,educa_pct,unemp_pct,total_ped_adult_pop,no2,o3,pm25,so2,pm10,co
68110,1393,1351,50.48,90.70,20.28,76.45,6.59,20.83,65.90,3.34,18.86,95.39,6.72,15.84,0.04,9902,10.01842633,41.1144947,9.514821615,1.541166383,26.2276384,0.300928281
68144,3014,2999,4.43,4.91,9.50,10.42,2.43,1.27,23.61,0.77,4.09,11.08,1.16,2.07,0.00,23308,8.987756573,41.26920544,9.056005774,1.421045014,25.73984742,0.293429062
68127,2301,2459,5.25,7.53,27.00,24.58,4.92,2.62,38.26,1.28,3.93,21.33,1.65,4.26,0.00,22117,9.458818823,40.94984131,9.009392957,1.368718119,25.68850286,0.313311613
68114,2039,2030,8.77,11.55,3.25,22.33,4.58,4.92,19.90,1.37,8.73,18.19,2.33,2.71,0.00,17715,9.557375387,41.05047494,8.689013731,1.270479454,24.34096087,0.294185641
68124,1922,2082,5.52,8.64,7.59,12.78,0.82,2.28,26.35,1.57,9.14,24.17,1.24,2.15,0.00,15951,9.444350523,40.8557141,9.045858264,1.343902036,24.53945449,0.294270464
68064,351,379,0.00,0.00,8.71,4.60,6.60,8.59,30.78,2.54,7.79,27.03,0.00,4.88,0.00,3501,4.478390342,41.58174364,7.845078819,1.305060072,26.84521,0.21721668
68112,1616,1875,37.44,88.33,12.85,26.07,14.83,15.56,64.63,3.39,8.92,48.85,0.68,8.39,0.00,11363,8.184844201,41.40198291,9.16317454,1.641737211,25.44013,0.273900924
68105,3127,3054,4.45,6.16,59.10,71.06,10.45,14.53,37.84,1.96,15.22,54.17,2.12,12.87,0.00,23403,11.81020818,40.93581868,8.904478008,1.472546289,22.89988465,0.323074536
68118,1500,1447,0.00,0.00,9.19,1.78,1.17,1.45,9.50,1.98,1.24,9.30,0.08,1.19,0.00,10040,7.497788391,41.67884053,8.771973954,1.431563216,27.37814123,0.252286978
68122,1927,1907,38.44,54.40,4.98,35.30,0.42,2.60,28.65,2.73,1.88,25.33,43.68,43.27,0.00,1211,7.363769588,41.56812242,8.411700873,1.289672723,24.89129857,0.255099605
68135,4898,5129,1.38,2.88,7.60,7.80,2.42,2.79,10.76,0.64,0.54,6.65,1.51,0.89,0.00,29663,6.604910291,41.66601357,8.243126932,1.163242224,27.10337187,0.249646112
68111,4113,4332,53.19,82.21,20.43,78.64,6.97,25.10,95.97,3.06,16.77,96.64,5.41,13.68,0.00,22724,9.936236434,41.31311133,9.321273043,1.491514998,24.81983048,0.295372464
68154,2406,2483,5.92,12.77,8.26,7.53,1.37,0.65,24.18,0.73,4.18,13.20,1.54,1.77,0.00,22031,8.35088271,41.45450963,8.583634117,1.284066017,25.62653954,0.280645686
68137,3305,3587,9.87,3.71,11.71,14.69,4.71,3.28,35.04,0.81,3.85,11.77,1.49,2.74,0.00,25704,8.925781625,41.23144139,9.052675503,1.449431723,26.44534475,0.295982184
68108,2193,2717,5.23,3.13,66.80,88.44,6.92,16.79,30.75,3.15,14.82,63.29,0.52,20.84,0.00,14588,10.30547762,40.85988846,9.009698746,1.670081672,22.85281243,0.316011143
